ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,1uF,C1,C0805,1,CL21B105KBFNNNE,SAMSUNG(三星),LCSC,C28323,0.044
2,100nF,"C2,C3",C0805,2,CC0805KRX7R9BB104,YAGEO(国巨),LCSC,C49678,0.02
3,10uF,"C4,C59,C60,C10",C0805,4,GRM21BR61H106KE43L,muRata(村田),LCSC,C440198,0.252
4,33uF,"C72,C73",C0805,2,C2012X5R1A336MTJ00E,TDK,LCSC,C342635,0.43
5,47nF,C7,C0603,1,CL10B473KB8NNNC,SAMSUNG(三星),LCSC,C1622,0.008
6,22nF,C8,C0603,1,CL10B223KB8NNNC,SAMSUNG(三星),LCSC,C21122,0.01
7,33pF,C70,C0603,1,CL10C330JB8NNNC,SAMSUNG(三星),LCSC,C1663,0.008
8,100nF,"C61,C69",C0603,2,CC0603KRX7R9BB104,YAGEO,LCSC,C14663,0.014
9,100nF,"C87,C12,C13,C14,C41,C42,C43,C44,C46,C47,C48,C49,C50,C51,C52,C54,C55,C58,C65,C66,C15,C6,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C84,C78,C81",C0402,38,CL05B104KO5NNNC,SAMSUNG(三星),LCSC,C1525,0.005
10,XH-2A-black,"CN3,CN1",CONN-TH_2P-P2.50_XH-2A-BLACK,2,XH-2A黑色,BOOMELE(博穆精密),LCSC,C24193,0.011
11,SMBJ33A,D1,SMB_L4.6-W3.6-LS5.3-RD,1,SMBJ33A,RUILON(瑞隆源),LCSC,C10219,0.095
12,LBZT52C12T1G,D2,SOD-123_L2.8-W1.8-LS3.7-RD,1,LBZT52C12T1G,LRC(乐山无线电),LCSC,C12747,0.031
13,BAT54C,"D3,D10",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,2,BAT54C,CJ(江苏长电/长晶),LCSC,C2135,0.027
14,LESD5D5.0CT1G_C5199850,"D4,D5,D11",SOD-523_L1.2-W0.8-LS1.6-BI,3,LESD5D5.0CT1G,UMW(友台半导体),LCSC,C5199850,0.016
15,SM712,D6,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,SM712,DOWO(东沃),LCSC,C293966,0.044
16,SS54_C22452,"D7,D13",SMA_L4.4-W2.8-LS5.4-R-RD,2,SS54,MDD(辰达半导体),LCSC,C22452,0.045
17,SK36_C266330,D12,SMC_L6.9-W5.9-LS7.9-RD,1,SK36,GOOD-ARK(固锝),LCSC,C266330,0.168
18,MINISMDC260F/16,"F1,F2",F1812,2,MINISMDC260F/16-2,Littelfuse(美国力特),LCSC,C16490,0.273
19,UFL,G$1,U.FL-R-SMT-1(60),1,,,,,
20,VIN,J1,HDR-M-2.54_2X3,1,,,LCSC,C65114,0.045
21,300Ω,L1,FILTER-SMD_4P-L7.0-W6.0-BL,1,ACM7060-301-2PL-TL01,TDK,LCSC,C76580,0.992
22,2.2uH,L2,IND-SMD_L10.4-W10.3,1,SMDRH105R-2R2NT,SXN(顺翔诺),LCSC,C10164,0.188
23,2.2uH,L3,IND-SMD_L3.0-W3.0_SMNR3015,1,ANR3015T2R2M,APV(爱普微),LCSC,C6364793,0.041
24,100Ω,L4,L0805,1,MPZ2012S101AT000,TDK,LCSC,C15957,0.027
25,10uH,L5,IND-SMD_L10.4-W10.3,1,SMDRH105R-100MT,SXN(顺翔诺),LCSC,C9185,0.182
26,19-217/BHC-ZL1M2RY/3T,LED1,LED0603-R-RD,1,19-217/BHC-ZL1M2RY/3T,EVERLIGHT,LCSC,C72041,0.021
27,UMH3NTN,Q1,SOT-363_L2.0-W1.3-P0.65-LS2.1-TL,1,UMH3NTN,ROHM(罗姆),LCSC,C123008,0.06
28,AO4407_C5155210,Q2,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL-1,1,AO4407,JSMSEMI(杰盛微),LCSC,C5155210,0.147
29,SI7465DP-T1-GE3,Q3,POWERPAK-SO-8_L5.9-W4.9-P1.27-LS6.2-BL,1,SI7465DP-T1-GE3,VISHAY(威世),LCSC,C499482,0.73
30,187kΩ,R3,R0603,1,0603WAF1873T5E,UNI-ROYAL(厚声),LCSC,C22896,0.003
31,82kΩ,R6,R0603,1,0603WAF8202T5E,UNI-ROYAL(厚声),LCSC,C23254,0.004
32,19.1kΩ,R86,R0603,1,0603WAF1912T5E,UNI-ROYAL(厚声),LCSC,C22897,0.003
33,1kΩ,R87,R0603,1,0603WAF1001T5E,UNI-ROYAL(厚声),LCSC,C21190,0.003
34,56kΩ,"R89,R36",R0603,2,0603WAF5602T5E,UNI-ROYAL(厚声),LCSC,C23206,0.003
35,189k,R90,R0603,1,RT0603BRD07189KL,YAGEO(国巨),LCSC,C861174,0.035
36,33kΩ,R92,R0603,1,0603WAF3302T5E,UNI-ROYAL(厚声),LCSC,C4216,0.003
37,470Ω,R96,R0603,1,0603WAF4700T5E,UNI-ROYAL(厚声),LCSC,C23179,0.003
38,SKQYAAE010,SW1,KEY-SMD_L6.1-W3.7-LS6.8,1,SKQYAAE010,ALPSALPINE(阿尔卑斯阿尔派),LCSC,C115352,0.234
39,TPS61175PWP,U1,HTSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL-EP,1,TPS61175PWP,TI(德州仪器),LCSC,C2879383,5.225
40,LMR51450SDRRR,U36,WSON-12_L3.0-W3.0-P0.50-TL-EP-2,1,LMR51450SDRRR,TI(德州仪器),LCSC,C6890985,1.117
41,4.7uH,U40,IND-SMD_L7.3-W6.6,1,GSSM06304R7M2AU,ABC(千如),LCSC,C2928306,
42,TPS61088RHLR,U41,VQFN-20_L4.6-W3.6-P0.50-BL,1,TPS61088RHLR,TI(德州仪器),LCSC,C87357,1.17
43,TPS7A0233DBVR,U42,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,1,TPS7A0233DBVR,TI(德州仪器),LCSC,C5142805,0.592
44,TPS62162DSG,U43,WSON-8_L2.0-W2.0-P0.50-TL-EP,1,TPS62162DSGR,TI(德州仪器),LCSC,C40256,1.114
45,TPL5010,U46,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,TPL5010DDCR,TI(德州仪器),LCSC,C473912,0.392
