ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,X1321FVS-2X04-C43D48,H1,HDR-SMD_8P-P1.27-V-F-R2-C4-LS4.8,1,X1321FVS-2x04-C43D48,XKB Connection(中国星坤),LCSC,C2684732,
2,1kΩ,R9,R0402,1,0402WGF1001TCE,UNI-ROYAL(厚声),LCSC,C11702,0.004
3,TPS22919DCKR,U5,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,1,TPS22919DCKR,TI(德州仪器),LCSC,C2149796,
4,MQ2,I1,MQ2,1,MQ2,,,,
5,10uF,"C7,C8",C0402,2,CL05A106MQ5NUNC,SAMSUNG(三星),LCSC,C15525,0.026
6,60Ω,L1,L0402,1,GZ1005D600TF,Sunlord(顺络),LCSC,C23478,
7,10MΩ,R1,R0402,1,0402WGJ0106TCE,UNI-ROYAL(厚声),LCSC,C26086,
8,10kΩ,"R2,R3",R0402,2,0402WGF1002TCE,UNI-ROYAL(厚声),LCSC,C25744,0.003
9,20kΩ,"R7,R8",R0402,2,0402WGF2002TCE,UNI-ROYAL(厚声),LCSC,C25765,
10,100nF,"C1,C2,C3,C4,C5,C6",C0402,6,CL05B104KO5NNNC,SAMSUNG(三星),LCSC,C1525,0.005
11,49.9Ω,"R4,R5,R6",R0402,3,RC-02K49R9FT,FH(风华),LCSC,C140147,0.002
12,INA333AIDGKR,U1,MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,1,INA333AIDGKR,TI(德州仪器),LCSC,C19450,
13,LM321DTR(XBLW),U2,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,1,LM321DTR(XBLW),XBLW(芯伯乐),LCSC,C18723612,
14,MCP4725A0T-E/CH,U3,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,MCP4725A0T-E/CH,MICROCHIP(美国微芯),LCSC,C144198,
